[0.000000] (-) TimerEvent: {}
[0.000339] (41068_ignition_bringup) JobQueued: {'identifier': '41068_ignition_bringup', 'dependencies': OrderedDict()}
[0.226490] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/robot_localization.yaml\n'}
[0.226783] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/41068.rviz\n'}
[0.227072] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/nav2_params_husky1.yaml\n'}
[0.227358] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/gazebo_bridge_clock.yaml\n'}
[0.227610] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/41068_husky1.rviz\n'}
[0.227892] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/robot_localization_parrot1.yaml\n'}
[0.228127] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/robot_localization_husky1.yaml\n'}
[0.228424] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/gazebo_bridge_husky1.yaml\n'}
[0.229088] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/gazebo_bridge_husky.yaml\n'}
[0.229456] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/slam_params.yaml\n'}
[0.229745] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/gazebo_bridge_parrot.yaml\n'}
[0.230000] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/slam_params_parrot1.yaml\n'}
[0.230277] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch\n'}
[0.230540] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_dynamic_world_demo.launch.py\n'}
[0.230773] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_navigation.launch.py\n'}
[0.231112] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__\n'}
[0.231415] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__/41068_ignition_husky.launch.cpython-313.pyc\n'}
[0.231968] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__/41068_dynamic_world_demo.launch.cpython-313.pyc\n'}
[0.232183] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__/41068_autonomy_demo.launch.cpython-313.pyc\n'}
[0.232566] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__/41068_ignition_parrot.launch.cpython-313.pyc\n'}
[0.232914] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__/41068_navigation.launch.cpython-313.pyc\n'}
[0.233786] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/__pycache__/41068_ignition.launch.cpython-313.pyc\n'}
[0.234273] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_autonomy_demo.launch.py\n'}
[0.234446] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_ignition_parrot.launch.py\n'}
[0.234708] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_ignition.launch.py\n'}
[0.234971] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/launch/41068_ignition_husky.launch.py\n'}
[0.235164] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models\n'}
[0.235485] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/models/forest_wall\n'}
